Input:
1.0 1.0 1.0
1.5 2.0 1.11803398875
2.0 1.5 1.11803398875

Output:
N: 37400 | Area: 0.942079
N: 37450 | Area: 0.938752
N: 37500 | Area: 0.945633
N: 37550 | Area: 0.943276
N: 37600 | Area: 0.942487
N: 37650 | Area: 0.949734
N: 37700 | Area: 0.947613
N: 37750 | Area: 0.941556
N: 37800 | Area: 0.944279
N: 37850 | Area: 0.947787
N: 37900 | Area: 0.942381
N: 37950 | Area: 0.942424
N: 38000 | Area: 0.949868
N: 38050 | Area: 0.944514
N: 38100 | Area: 0.944554
N: 38150 | Area: 0.942071
N: 38200 | Area: 0.938711
N: 38250 | Area: 0.944216
N: 38300 | Area: 0.950587
N: 38350 | Area: 0.945828
N: 38400 | Area: 0.944466
N: 38450 | Area: 0.94119
N: 38500 | Area: 0.948377
N: 38550 | Area: 0.939527
N: 38600 | Area: 0.94524
N: 38650 | Area: 0.94751
N: 38700 | Area: 0.946673
N: 38750 | Area: 0.946
N: 38800 | Area: 0.943943
N: 38850 | Area: 0.946943
N: 38900 | Area: 0.948329
N: 38950 | Area: 0.943646
N: 39000 | Area: 0.947756
N: 39050 | Area: 0.946927
N: 39100 | Area: 0.946803
N: 39150 | Area: 0.948084
N: 39200 | Area: 0.94273
N: 39250 | Area: 0.947866
N: 39300 | Area: 0.941539
N: 39350 | Area: 0.941518
N: 39400 | Area: 0.943909
N: 39450 | Area: 0.945215
N: 39500 | Area: 0.940316
N: 39550 | Area: 0.941972
N: 39600 | Area: 0.941509
N: 39650 | Area: 0.946532
N: 39700 | Area: 0.94323
N: 39750 | Area: 0.946824
N: 39800 | Area: 0.939573
N: 39850 | Area: 0.945859
N: 39900 | Area: 0.940602
N: 39950 | Area: 0.943836
N: 40000 | Area: 0.946375
N: 40050 | Area: 0.947503
N: 40100 | Area: 0.947132
N: 40150 | Area: 0.946482
N: 40200 | Area: 0.942133
N: 40250 | Area: 0.943478
N: 40300 | Area: 0.942432
N: 40350 | Area: 0.946375
N: 40400 | Area: 0.945823
N: 40450 | Area: 0.941193
N: 40500 | Area: 0.950031
N: 40550 | Area: 0.944852
N: 40600 | Area: 0.942518
N: 40650 | Area: 0.946433
N: 40700 | Area: 0.945915
N: 40750 | Area: 0.940552
N: 40800 | Area: 0.945435
N: 40850 | Area: 0.945349
N: 40900 | Area: 0.942145
N: 40950 | Area: 0.949145
N: 41000 | Area: 0.943323
N: 41050 | Area: 0.947412
N: 41100 | Area: 0.944526
N: 41150 | Area: 0.943348
N: 41200 | Area: 0.945419
N: 41250 | Area: 0.939788
N: 41300 | Area: 0.944764
N: 41350 | Area: 0.946796
N: 41400 | Area: 0.942452
N: 41450 | Area: 0.942521
N: 41500 | Area: 0.944759
N: 41550 | Area: 0.945909
N: 41600 | Area: 0.947656
N: 41650 | Area: 0.948049
N: 41700 | Area: 0.939179
N: 41750 | Area: 0.940419
N: 41800 | Area: 0.94369
N: 41850 | Area: 0.947939
N: 41900 | Area: 0.944004
N: 41950 | Area: 0.943117
N: 42000 | Area: 0.943095
N: 42050 | Area: 0.943103
N: 42100 | Area: 0.946823
N: 42150 | Area: 0.945789
N: 42200 | Area: 0.944609
N: 42250 | Area: 0.94213
N: 42300 | Area: 0.941814
N: 42350 | Area: 0.947196
N: 42400 | Area: 0.948555
N: 42450 | Area: 0.944582
N: 42500 | Area: 0.940941
N: 42550 | Area: 0.942597
N: 42600 | Area: 0.943691
N: 42650 | Area: 0.943904
N: 42700 | Area: 0.944292
N: 42750 | Area: 0.942164
N: 42800 | Area: 0.945561
N: 42850 | Area: 0.941278
N: 42900 | Area: 0.942978
N: 42950 | Area: 0.940832
